slug,nome,pais,descricao
,Alexandre Dumas,França,"Nascido em 1802, neto de uma escrava haitiana e filho de um general negro do exército napoleônico, tornou-se o mais popular contador de histórias da França. Trabalhava com colaboradores, principalmente Auguste Maquet, e produzia em ritmo industrial para os jornais que publicavam romances em fatias diárias. Criou Os Três Mosqueteiros, com d'Artagnan e o lema da amizade que virou provérbio, e O Conde de Monte Cristo, a mais bem construída história de vingança já escrita, sobre um homem inocente que passa catorze anos preso e volta com outro nome e dinheiro infinito. Ganhou fortunas e perdeu todas, construiu um castelo, viveu cercado de escândalos. Foi desprezado como autor comercial durante muito tempo, e só em 2002 seus restos foram levados ao Panteão."
clamp,CLAMP,Japão,"Grupo japonês de mangá formado só por mulheres, criado nos anos 1980 como coletivo de fanzines e reduzido depois a quatro integrantes: Nanase Ohkawa, Mokona, Tsubaki Nekoi e Satsuki Igarashi. Trabalham de forma incomum, com roteiro, desenho e direção de arte divididos entre elas, e por isso o traço muda bastante de obra para obra. Fizeram Sakura Card Captors, clássico infantojuvenil de magia; xxxHOLiC e Tsubasa, que se cruzam num mesmo universo; Chobits, sobre afeto e máquinas; Magic Knight Rayearth e Clover. Marca registrada: figuras alongadas, roupas elaboradas, páginas de composição ousada e histórias que misturam fantasia, destino e amor em configurações pouco convencionais. Influenciaram uma geração inteira de artistas dentro e fora do Japão."
camilo-castelo-branco-3,Camilo Castelo Branco,Portugal,"Um dos escritores mais prolíficos da língua portuguesa, nascido no Porto em 1825. Órfão cedo, viveu uma vida que parece rascunho dos próprios romances: casamentos, fugas, um processo por adultério que o levou à cadeia, e foi justamente preso que escreveu Amor de Perdição, a história dos amantes separados pelas famílias que virou o romance mais lido de Portugal no século XIX. Publicou mais de duzentos títulos entre romance, novela, crônica e polêmica, com uma prosa rápida, irônica e cheia de fala popular. É o grande nome do romantismo português, mas a melhor parte dele é quando a ironia vence o sentimentalismo, como na Novela do Minho. Ficou cego no fim da vida por causa de sífilis e se matou em 1890, em São Miguel de Seide."
,Charles Dickens,Reino Unido,"O maior romancista popular do século XIX inglês, nascido em 1812. Aos doze anos foi tirado da escola e mandado trabalhar numa fábrica de graxa enquanto o pai estava preso por dívidas, e essa humilhação alimentou sua obra inteira: quase todos os seus livros olham para crianças pobres e para as instituições que as trituram. Publicava em capítulos mensais, o que explica o ritmo, os ganchos e os personagens secundários inesquecíveis. Escreveu Oliver Twist, David Copperfield, Grandes Esperanças, A Casa Soturna e Um Conto de Natal, que praticamente reinventou o Natal como o comemoramos. Fazia leituras públicas dos próprios livros e lotava teatros. Combinava sentimentalismo e denúncia social sem pedir licença, e morreu em 1870 com um romance inacabado."
,Charlotte Brontë,Reino Unido,"Nascida em 1816 no interior da Inglaterra, filha de um pastor, cresceu num presbitério isolado com os irmãos, inventando reinos imaginários que renderam cadernos inteiros. Perdeu a mãe e duas irmãs ainda menina, e depois viu morrerem Branwell, Emily e Anne em pouco mais de um ano. Publicou Jane Eyre em 1847 sob o pseudônimo masculino Currer Bell, e o livro foi um choque: uma narradora feia, pobre e sem família que insiste em ser tratada como igual, e que diz isso em primeira pessoa a um homem mais rico e mais velho. A cena da mulher no sótão gerou um século de leituras críticas. Escreveu também Shirley e Vilette, este último talvez seu livro mais duro e solitário. Morreu grávida, em 1855, aos 38 anos."
,Daniel Defoe,Reino Unido,"Nascido em Londres por volta de 1660, foi comerciante, espião do governo, panfletário e devedor contumaz, preso e exposto no pelourinho por escrever uma sátira religiosa que os leitores levaram a sério. Só depois dos cinquenta e nove anos publicou Robinson Crusoé, sobre o náufrago que passa vinte e oito anos numa ilha e reconstrói ali, sozinho, uma versão da sociedade que deixou, livro geralmente apontado como o primeiro romance inglês. Escreveu Moll Flanders, a autobiografia fictícia de uma mulher que sobrevive por roubo e casamento numa sociedade que não lhe dava outra saída, e o Diário do Ano da Peste, reconstituição jornalística da epidemia de 1665 tão convincente que muitos a tomaram por relato real. Morreu em 1731, fugindo de credores."
,Dante Alighieri,Itália,"Poeta florentino nascido em 1265, autor da Divina Comédia e um dos responsáveis por transformar o italiano vulgar numa língua literária. Envolveu-se na política brutal de Florença, acabou no lado perdedor e foi exilado sob pena de morte se voltasse, condenação que nunca foi revogada em vida. Escreveu no exílio a viagem em três partes pelo Inferno, Purgatório e Paraíso, guiado primeiro por Virgílio e depois por Beatriz, a mulher que amou de longe e que morreu jovem. O Inferno é a parte mais lida por causa da imaginação punitiva, com cada pecado recebendo um castigo que espelha a culpa, mas o poema inteiro é uma ascensão. Escreveu também a Vida Nova e tratados sobre língua e política. Morreu em Ravena em 1321, longe de casa."
,Edgar Allan Poe,Estados Unidos,"Nascido em Boston em 1809, órfão cedo, é o inventor de mais de um gênero. Criou o conto policial de raciocínio com Os Crimes da Rua Morgue, onde apresentou o detetive que resolve tudo pela dedução e serviu de molde para Sherlock Holmes. Levou o conto de horror a um lugar psicológico, com narradores que insistem em provar que não estão loucos justamente enquanto descrevem o que fizeram, como em O Coração Delator e O Gato Preto. Escreveu O Corvo, poema que virou fenômeno popular ainda em vida, e defendeu num ensaio que todo conto deve ser construído de trás para frente, a partir do efeito que quer causar. Viveu de bicos no jornalismo, na pobreza, e morreu em 1849 em circunstâncias até hoje mal explicadas, delirando numa rua de Baltimore."
,Eurípides,Grécia,"O mais moderno dos três grandes trágicos gregos, nascido por volta de 480 a.C. Foi o menos premiado em vida e o mais copiado depois, porque trouxe para a cena o que os outros mantinham longe: mulheres com raiva, escravos com opinião, deuses mesquinhos e heróis reduzidos a gente comum. Em Medeia, uma mulher traída pelo marido mata os próprios filhos para atingi-lo, e o texto não a transforma em monstro simples, dá voz ao raciocínio dela. Em As Troianas, mostrou o pós-guerra do lado dos derrotados, encenada logo depois de Atenas massacrar a ilha de Melos. Escreveu ainda Hipólito, Bacantes e as duas Ifigênias. Foi acusado de misógino e de feminista pelas mesmas peças, o que talvez diga o quanto elas incomodam. Morreu na Macedônia por volta de 406 a.C."
,F. Scott Fitzgerald,Estados Unidos,"Nascido em Minnesota em 1896, deu nome à Era do Jazz e viveu dentro dela até se destruir. Ficou famoso muito cedo, casou com Zelda Sayre e os dois viraram o casal-símbolo dos anos 1920, com festas, dívidas e viagens pela Europa. Em O Grande Gatsby, escreveu a história do homem que enriquece de forma obscura para reconquistar uma mulher e dá festas gigantescas onde não conhece ninguém, um livro curto sobre dinheiro novo, dinheiro velho e a impossibilidade de repetir o passado. Vendeu mal em vida e só depois virou o romance americano por excelência. Escreveu ainda Suave é a Noite e contos excelentes. Zelda foi internada, ele foi para Hollywood escrever roteiros e beber, e morreu em 1940, aos 44, achando que tinha fracassado."
