Título,ISBN,Autor,Nacionalidade ou Etnia,Gênero literário,Tema,Editora,Ano em que a obra foi escrita,Ano de publicação da edição,Idioma da edição,Formato,"Obtenção (sebo, financiamento, amazon)",Lido,Nota
Dom Casmurro,9788535911664,Machado de Assis,Brasileira,Romance,Ciúme e memória,Companhia das Letras,1899,2016,Português do Brasil,Brochura,Sebo,Lido,🩶🩶🩶🩶🩶
A Hora da Estrela,9788520925102,Clarice Lispector,Brasileira,Romance,Solidão urbana,Rocco,1977,2017,Português do Brasil,Brochura,Amazon,Lido,🩶🩶🩶🩶
Vidas Secas,9788503012676,Graciliano Ramos,Brasileira,Romance,Seca e miséria,Record,1938,2019,Português do Brasil,Brochura,Sebo,Lido,🩶🩶🩶🩶🩶
Torto Arado,9788546501778,Itamar Vieira Junior,Brasileira,Romance,Trabalho e terra,Todavia,2018,2019,Português do Brasil,Brochura,Amazon,Lido,🩶🩶🩶🩶🩶
Quarto de Despejo,9788503005364,Carolina Maria de Jesus,Brasileira,Não-ficção,Favela e fome,Ática,1960,2014,Português do Brasil,Brochura,Sebo,Lido,🩶🩶🩶🩶
O Cortiço,9788508133084,Aluísio Azevedo,Brasileira,Romance,Naturalismo,Ática,1890,2012,Português do Brasil,Brochura,Sebo,Não lido,
Grande Sertão: Veredas,9788520937011,João Guimarães Rosa,Brasileira,Romance,Sertão e travessia,Nova Fronteira,1956,2019,Português do Brasil,Capa Dura,Amazon,Não lido,
Cem Anos de Solidão,9788535914849,Gabriel García Márquez,Colombiana,Romance,Realismo mágico,Record,1967,2019,Português do Brasil,Brochura,Amazon,Lido,🩶🩶🩶🩶🩶
1984,9788535914849,George Orwell,Britânica,Distopia,Vigilância,Companhia das Letras,1949,2009,Português do Brasil,Brochura,Amazon,Lido,🩶🩶🩶🩶🩶
O Estrangeiro,9788535920932,Albert Camus,Francesa,Romance,Absurdo,Record,1942,2013,Português do Brasil,Brochura,Sebo,Lido,🩶🩶🩶🩶
Crime e Castigo,9788573261509,Fiódor Dostoiévski,Russa,Romance,Culpa e redenção,Editora 34,1866,2001,Português do Brasil,Capa Dura,Sebo,Não lido,
A Metamorfose,9788572322300,Franz Kafka,Tcheca,Novela,Alienação,Companhia das Letras,1915,2000,Português do Brasil,Brochura,Amazon,Lido,🩶🩶🩶🩶
O Senhor dos Anéis: A Sociedade do Anel,9788533613379,J.R.R. Tolkien,Britânica,Fantasia,Jornada,HarperCollins,1954,2019,Português do Brasil,Capa Dura,Amazon,Lido,🩶🩶🩶🩶🩶
Ensaio sobre a Cegueira,9788535909555,José Saramago,Portuguesa,Romance,Colapso social,Companhia das Letras,1995,2016,Português do Brasil,Brochura,Sebo,Lido,🩶🩶🩶🩶🩶
Becos da Memória,9788574888736,Conceição Evaristo,Brasileira,Romance,Memória e favela,Pallas,2006,2017,Português do Brasil,Brochura,Amazon,Não lido,
O Pequeno Príncipe,9788574068695,Antoine de Saint-Exupéry,Francesa,Infantojuvenil,Amizade,Agir,1943,2015,Português do Brasil,Capa Dura,Amazon,Lido,🩶🩶🩶🩶
Berserk Vol. 1,9788542606928,Kentaro Miura,Japonesa,Mangá,Vingança,Panini,1990,2020,Português do Brasil,Brochura,Amazon,Lido,🩶🩶🩶🩶🩶
Pequeno Manual Antirracista,9788535932171,Djamila Ribeiro,Brasileira,Não-ficção,Antirracismo,Companhia das Letras,2019,2019,Português do Brasil,Brochura,Amazon,Lido,🩶🩶🩶🩶
A Coragem de Ser Imperfeito,9788542212280,Brené Brown,Estadunidense,Não-ficção,Vulnerabilidade,Sextante,2012,2019,Português do Brasil,Brochura,Amazon,Não lido,
Sapiens: Uma Breve História da Humanidade,9788525432186,Yuval Noah Harari,Israelense,Não-ficção,História humana,L&PM,2011,2015,Português do Brasil,Brochura,Amazon,Lido,🩶🩶🩶🩶
